	4275	4277	4279	4280	4280a	4281
ENSG00000018610	308	397	383	406	407	398
ENSG00000018625	0	0	1	1	0	0
ENSG00000018699	80	101	121	118	106	50
ENSG00000018869	40	39	30	27	42	18
ENSG00000019102	3	5	6	12	7	2
ENSG00000019144	34	38	91	114	107	49
ENSG00000019169	21	162	39	20	20	43
ENSG00000019186	6	0	4	7	8	2
ENSG00000019485	67	93	136	59	61	26
ENSG00000019505	0	0	0	0	0	0
ENSG00000019549	0	0	0	0	0	0
ENSG00000019582	17571	26580	26113	19231	19726	17536
ENSG00000019991	2	6	6	2	5	4
ENSG00000019995	1590	1921	1503	1657	1650	1829
ENSG00000020129	175	197	274	197	204	97
ENSG00000020181	17	46	19	11	12	5
ENSG00000020219	4	2	3	3	0	1
ENSG00000020256	62	67	97	97	102	28
ENSG00000020426	68	80	120	167	152	81
ENSG00000020577	57	97	129	152	130	62
ENSG00000020633	20506	19555	23393	23729	22642	22394
ENSG00000020922	582	510	1055	730	662	464
ENSG00000021300	63	123	125	143	171	39
ENSG00000021355	3242	7691	2979	3286	3722	8471
ENSG00000021461	2	0	1	1	0	0
ENSG00000021488	1	1	1	1	1	0
ENSG00000021574	428	541	384	382	401	387
ENSG00000021645	0	1	1	3	1	2
ENSG00000021762	334	201	998	1048	930	508
ENSG00000021776	1424	1488	2174	2093	1843	619
ENSG00000021826	0	0	0	3	0	1
ENSG00000021852	1	0	0	0	0	0
ENSG00000022267	495	492	329	678	701	232
ENSG00000022277	1263	2143	866	1187	1405	1838
ENSG00000022355	0	0	0	1	2	1
ENSG00000022556	92	90	275	189	167	160
ENSG00000022567	4958	5574	2375	2815	2671	6450
ENSG00000022840	7286	9303	6736	8046	8027	6990
ENSG00000022976	526	589	665	792	788	511
ENSG00000023041	1322	1289	1511	1287	1289	1198
ENSG00000023171	146	102	174	154	124	104
ENSG00000023191	987	1337	1361	1312	1564	1257
ENSG00000023228	902	1119	1176	1412	1363	614
ENSG00000023287	5310	6601	4548	4567	4134	3610
ENSG00000023318	2277	2552	2109	2807	2960	3522
ENSG00000023330	966	1543	1039	1241	1247	1405
ENSG00000023445	8351	9446	8690	15022	14569	5809
ENSG00000023516	993	1268	1868	1876	1546	523
ENSG00000023572	17	15	23	55	52	25
ENSG00000023608	219	376	318	426	524	624
ENSG00000023697	65	76	62	39	48	62
ENSG00000023734	2606	3314	3056	2539	2872	3013
ENSG00000023839	690	658	678	492	446	222
ENSG00000023892	5559	5880	5954	6213	5967	4330
ENSG00000023902	3603	6197	3550	3604	3897	6276
ENSG00000023909	232	260	383	679	671	393
ENSG00000024048	5517	7353	6081	5827	5079	5373
ENSG00000024422	5	24	7	12	11	18
ENSG00000024526	0	0	2	3	4	1
ENSG00000024862	675	693	739	839	943	927
ENSG00000025039	1201	1315	506	880	987	1809
ENSG00000025156	1342	1228	1375	1444	1432	872
ENSG00000025293	3687	4453	3605	3997	3940	3435
ENSG00000025423	3	4	2	5	3	2
ENSG00000025434	42	36	43	46	56	30
ENSG00000025708	1402	2208	891	1601	1684	3548
ENSG00000025770	1653	2152	2471	2805	3014	1990
ENSG00000025772	661	625	591	652	606	335
ENSG00000025796	2539	3105	3114	3333	3274	2588
ENSG00000025800	1769	2236	2299	2374	2246	1267
ENSG00000026025	14963	27070	28137	25070	26392	24791
ENSG00000026036	38	25	61	64	51	21
ENSG00000026103	3076	3228	2645	3366	3455	5278
ENSG00000026297	1744	3264	1540	2012	2078	2532
ENSG00000026508	13277	21215	21022	27600	27539	13475
ENSG00000026559	4	4	5	2	0	4
ENSG00000026652	363	396	677	488	449	318
